Country,Year,Score,Rank
Iceland,2013,0.8731,1
Finland,2013,0.8421,2
Norway,2013,0.8417,3
Sweden,2013,0.8129,4
Philippines,2013,0.7832,5
Ireland,2013,0.7823,6
New Zealand,2013,0.7799,7
Denmark,2013,0.7779,8
Switzerland,2013,0.7736,9
Nicaragua,2013,0.7715,10
Belgium,2013,0.7684,11
Latvia,2013,0.761,12
Netherlands,2013,0.7608,13
Germany,2013,0.7583,14
Cuba,2013,0.754,15
Lesotho,2013,0.753,16
South Africa,2013,0.751,17
United Kingdom,2013,0.744,18
Austria,2013,0.7437,19
Canada,2013,0.7425,20
Luxembourg,2013,0.741,21
Burundi,2013,0.7397,22
United States,2013,0.7392,23
Australia,2013,0.739,24
Ecuador,2013,0.7389,25
Mozambique,2013,0.7349,26
Bolivia,2013,0.734,27
Lithuania,2013,0.7308,28
Barbados,2013,0.7301,29
Spain,2013,0.7266,30
Costa Rica,2013,0.7241,31
Kazakhstan,2013,0.7218,32
Mongolia,2013,0.7204,33
Argentina,2013,0.7195,34
Colombia,2013,0.7171,35
Trinidad and Tobago,2013,0.7166,36
Panama,2013,0.7164,37
Slovenia,2013,0.7155,38
Malawi,2013,0.7139,39
Bahamas,2013,0.7128,40
Cape Verde,2013,0.7122,41
Serbia,2013,0.7116,42
Bulgaria,2013,0.7097,43
Namibia,2013,0.7094,44
France,2013,0.7089,45
Uganda,2013,0.7086,46
Jamica,2013,0.7085,47
Guyana,2013,0.7085,48
Croatia,2013,0.7069,49
Venezuela,2013,0.706,50
Portugal,2013,0.7056,51
Moldova,2013,0.7037,52
Israel,2013,0.7032,53
Poland,2013,0.7031,54
Sri Lanka,2013,0.7019,55
Madagascar,2013,0.7016,56
"Macedonia, FYR",2013,0.7013,57
Singapore,2013,0.7,58
Estonia,2013,0.6997,59
Lao PDR*,2013,0.6993,60
Russian Federation,2013,0.6983,61
Brazil,2013,0.6949,62
Kyrgyz Republic,2013,0.6948,63
Ukraine,2013,0.6935,64
Thailand,2013,0.6928,65
Tanzania,2013,0.6928,66
Senegal,2013,0.6923,67
Mexico,2013,0.6917,68
China,2013,0.6908,69
Romania,2013,0.6908,70
Italy,2013,0.6885,71
Dominican Republic,2013,0.6867,72
Vietnam,2013,0.6863,73
Slovak Republic,2013,0.6857,74
Bangladesh,2013,0.6848,75
Ghana,2013,0.6811,76
Uruguay,2013,0.6803,77
Kenya,2013,0.6803,78
Cyprus,2013,0.6801,79
Peru,2013,0.6787,80
Greece,2013,0.6782,81
Honduras,2013,0.6773,82
Czech Republic,2013,0.677,83
Malta,2013,0.6761,84
Botswana,2013,0.6752,85
Georgia,2013,0.675,86
Hungary,2013,0.6742,87
Brunei Darussalam,2013,0.673,88
Paraguay,2013,0.6724,89
Tajikistan,2013,0.6682,90
Chile,2013,0.667,91
